GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Flogin Backend,com.flogin.service,AuthService,18,32,3,3,4,7,2,3,0,2
Flogin Backend,com.flogin.service,CategoryService,24,3,0,0,7,1,2,1,2,1
Flogin Backend,com.flogin.service,ProductService,222,0,8,0,46,0,17,0,13,0
Flogin Backend,com.flogin.controller,HomeController,2,3,0,0,1,1,1,1,1,1
Flogin Backend,com.flogin.controller,AuthController,8,36,0,2,2,10,0,3,0,2
Flogin Backend,com.flogin.controller,CategoryController,5,3,0,0,1,1,1,1,1,1
Flogin Backend,com.flogin.controller,ProductController,20,18,0,0,4,4,3,3,3,3
Flogin Backend,com.flogin.config,EncodingFilter,0,14,0,0,0,5,0,2,0,2
Flogin Backend,com.flogin.config,GlobalExceptionHandler,21,3,4,0,5,1,3,1,1,1
Flogin Backend,com.flogin.entity,User,608,23,100,0,32,7,80,2,30,2
Flogin Backend,com.flogin.entity,Product,698,7,124,0,67,3,102,1,40,1
Flogin Backend,com.flogin.entity,LoginHistory,502,3,84,0,43,1,72,1,30,1
Flogin Backend,com.flogin.entity,Category,363,12,60,0,20,4,51,1,21,1
Flogin Backend,com.flogin.entity,User.Role,3,25,0,0,1,6,1,2,1,2
Flogin Backend,com.flogin.entity,LoginHistory.FailureReason,3,0,0,0,1,0,1,0,1,0
Flogin Backend,com.flogin.dto,CategoryDto,115,0,22,0,4,0,20,0,9,0
Flogin Backend,com.flogin.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
Flogin Backend,com.flogin.dto,LoginResponse,0,9,0,0,0,1,0,1,0,1
Flogin Backend,com.flogin.dto,ProductDto,254,68,56,0,1,9,32,16,4,16
Flogin Backend,com.flogin,FloginApplication,5,3,0,0,2,1,1,1,1,1
